,estimator,mean_score,max_score,std_score,base_estimator__criterion,base_estimator__max_depth,base_estimator__min_samples_leaf,base_estimator__splitter,max_depth,min_samples_leaf,min_score,n_estimators,n_neighbors
180,AdaBoostClassifier,0.44253599280277955,0.5531697341513292,0.10313928117175916,gini,2,2,best,,,0.2619775739041794,9,
196,AdaBoostClassifier,0.44192437200767254,0.5531697341513292,0.10366782972596097,gini,2,3,best,,,0.2609582059123344,9,
164,AdaBoostClassifier,0.43417738330393413,0.5531697341513292,0.1185459982650416,gini,2,1,best,,,0.21916411824668705,9,
79,AdaBoostClassifier,0.5059344089599217,0.5530612244897959,0.027480122344140902,gini,,5,random,,,0.47298674821610603,15,
211,AdaBoostClassifier,0.4570118517003995,0.5521472392638037,0.11371577858451581,gini,2,4,best,,,0.23343527013251783,7,
227,AdaBoostClassifier,0.4564008562844285,0.5521472392638037,0.11538520187811219,gini,2,5,best,,,0.22935779816513763,7,
63,AdaBoostClassifier,0.4969600103225845,0.5520408163265306,0.03575579138575481,gini,,4,random,,,0.4475025484199796,15,
228,AdaBoostClassifier,0.43723465386604915,0.5501022494887525,0.11326697015024158,gini,2,5,best,,,0.23139653414882771,9,
140,AdaBoostClassifier,0.46943544217559446,0.5501022494887525,0.04957541440920607,gini,1,4,random,,,0.4016309887869521,9,
212,AdaBoostClassifier,0.4366217823126699,0.5501022494887525,0.11343949061350446,gini,2,4,best,,,0.23037716615698267,9,
